X,CH1,CH2,
Second,Volt,Volt,
5.54000e-05,7.99e-02,8.40e+00,
5.56000e-05,1.60e-01,8.40e+00,
5.58000e-05,7.99e-02,8.60e+00,
5.60000e-05,1.60e-01,8.60e+00,
5.62000e-05,1.60e-01,8.40e+00,
5.64000e-05,7.99e-02,8.40e+00,
5.66000e-05,1.60e-01,8.60e+00,
5.68000e-05,1.60e-01,8.40e+00,
5.70000e-05,7.99e-02,8.60e+00,
5.72000e-05,1.60e-01,8.40e+00,
5.74000e-05,1.60e-01,8.60e+00,
5.76000e-05,1.60e-01,8.40e+00,
5.78000e-05,7.99e-02,8.60e+00,
5.80000e-05,1.60e-01,8.40e+00,
5.82000e-05,1.60e-01,8.60e+00,
5.84000e-05,1.60e-01,8.40e+00,
5.86000e-05,1.60e-01,8.60e+00,
5.88000e-05,7.99e-02,8.40e+00,
5.90000e-05,1.60e-01,8.60e+00,
5.92000e-05,1.60e-01,8.40e+00,
5.94000e-05,3.68e+00,8.60e+00,
5.96000e-05,5.76e+00,8.40e+00,
5.98000e-05,5.52e+00,8.60e+00,
