X,CH1,CH2,
Second,Volt,Volt,
1.80000e-06,5.52e+00,-9.20e+00,
2.00000e-06,5.52e+00,-9.20e+00,
2.20000e-06,5.52e+00,-9.00e+00,
2.40000e-06,5.52e+00,-9.00e+00,
2.60000e-06,5.52e+00,-9.00e+00,
2.80000e-06,5.52e+00,-9.00e+00,
3.00000e-06,5.44e+00,-9.00e+00,
3.20000e-06,5.52e+00,-9.00e+00,
3.40000e-06,5.44e+00,-9.00e+00,
3.60000e-06,5.52e+00,-9.00e+00,
3.80000e-06,5.44e+00,-8.80e+00,
4.00000e-06,5.52e+00,-8.80e+00,
4.20000e-06,5.44e+00,-9.00e+00,
4.40000e-06,5.52e+00,-9.00e+00,
4.60000e-06,5.44e+00,-8.80e+00,
4.80000e-06,5.44e+00,-8.80e+00,
5.00000e-06,5.52e+00,-9.00e+00,
5.20000e-06,5.52e+00,-8.80e+00,
5.40000e-06,5.44e+00,-9.00e+00,
5.60000e-06,5.44e+00,-8.80e+00,
5.80000e-06,5.52e+00,-9.00e+00,
6.00000e-06,5.44e+00,-9.00e+00,
6.20000e-06,5.52e+00,-8.80e+00,
6.40000e-06,5.44e+00,-9.00e+00,
6.60000e-06,5.52e+00,-8.80e+00,
6.80000e-06,5.52e+00,-8.80e+00,
7.00000e-06,5.44e+00,-9.00e+00,
7.20000e-06,5.52e+00,-9.00e+00,
7.40000e-06,5.44e+00,-8.80e+00,
7.60000e-06,5.44e+00,-9.00e+00,
7.80000e-06,5.44e+00,-8.80e+00,
8.00000e-06,5.52e+00,-9.00e+00,
8.20000e-06,5.44e+00,-8.80e+00,
8.40000e-06,5.44e+00,-8.80e+00,
8.60000e-06,5.52e+00,-9.00e+00,
8.80000e-06,5.44e+00,-9.00e+00,
9.00000e-06,5.52e+00,-8.80e+00,
9.20000e-06,5.44e+00,-8.80e+00,
9.40000e-06,5.52e+00,-9.00e+00,
9.60000e-06,5.44e+00,-9.00e+00,
9.80000e-06,5.44e+00,-8.80e+00,
1.00000e-05,5.44e+00,-9.00e+00,
1.02000e-05,0.00e+00,-1.20e+00,
1.04000e-05,0.00e+00,1.80e+00,
1.06000e-05,0.00e+00,8.60e+00,
1.08000e-05,7.99e-02,8.60e+00,
1.10000e-05,0.00e+00,8.80e+00,
1.12000e-05,7.99e-02,8.60e+00,
1.14000e-05,0.00e+00,8.80e+00,
1.16000e-05,7.99e-02,8.80e+00,
1.18000e-05,0.00e+00,8.60e+00,
1.20000e-05,7.99e-02,8.60e+00,
1.22000e-05,7.99e-02,8.60e+00,
1.24000e-05,7.99e-02,8.80e+00,
1.26000e-05,7.99e-02,8.60e+00,
1.28000e-05,7.99e-02,8.60e+00,
1.30000e-05,1.60e-01,8.40e+00,
1.32000e-05,7.99e-02,8.60e+00,
1.34000e-05,1.60e-01,8.40e+00,
1.36000e-05,7.99e-02,8.60e+00,
