161,0.054,3.44,9.051,-0.623,3.853,8.997,0.676,-0.468,-0.091,-14.4,12.9,-4.9,-21.1,-44.3,5,155,-22.7,4.4
171,-0.249,3.739,10.183,-0.626,3.836,9.003,0.381,-0.158,1.016,-14.4,12.9,-4.9,-22,-44,5.4,153.3,-23.1,4
181,-0.249,3.739,10.183,-0.626,3.836,9.003,0.381,-0.158,1.016,-12.2,-8.3,-9.7,-22,-44,5.4,153.3,-23.1,4
191,-1.069,4.81,9.874,-0.538,3.789,9.029,-0.514,0.944,0.687,-9.7,-39.8,-5.7,-22.5,-43.8,5.8,153.3,-23.1,4
201,-1.069,4.81,9.874,-0.538,3.789,9.029,-0.514,0.944,0.687,-9.7,-39.8,-5.7,-22.5,-43.8,5.8,153.3,-23.1,4
211,-1.142,4.579,9.096,-0.452,3.727,9.06,-0.672,0.779,-0.11,-13.1,-52.5,6.6,-22.9,-43.7,5.8,152.5,-22.7,3.4
221,-1.142,4.579,9.096,-0.452,3.727,9.06,-0.672,0.779,-0.11,-13.1,-52.5,6.6,-22.9,-43.7,5.8,152.5,-22.7,3.4
231,-0.138,3.912,9.52,-0.272,3.664,9.093,0.137,0.186,0.275,-14.8,-42.8,8.7,-23.2,-43.7,5.7,152.5,-22.7,3.4
241,0.907,3.979,9.795,-0.242,3.668,9.092,1.134,0.247,0.546,-11.3,-32.5,6.1,-23.4,-43.6,5.8,152.5,-22.7,3.4
251,0.907,3.979,9.795,-0.242,3.668,9.092,1.134,0.247,0.546,-11.3,-32.5,6.1,-23.4,-43.6,5.8,152.5,-22.7,3.4
261,0.515,3.309,8.927,-0.175,3.665,9.095,0.682,-0.408,-0.311,-11.3,-32.5,6.1,-23.3,-43.6,5.8,152.2,-22,1.5
271,0.515,3.309,8.927,-0.175,3.665,9.095,0.682,-0.408,-0.311,-9.3,-22.5,-1.9,-23.3,-43.6,5.8,152.2,-22,1.5
281,0.981,3.97,9.807,-0.077,3.63,9.11,1.042,0.276,0.54,-8.5,-15.5,-11.2,-23.6,-43.3,6.1,152.2,-22,1.5
291,0.012,3.395,9.718,-0.06,3.619,9.114,0.072,-0.279,0.447,-6.9,-14.4,-14.8,-23.6,-43.3,6.1,150.4,-21.7,0.5
301,0.012,3.395,9.718,-0.06,3.619,9.114,0.072,-0.279,0.447,-6.9,-14.4,-14.8,-23.6,-43.3,6.1,150.4,-21.7,0.5
311,-0.481,3.698,10.058,0.013,3.586,9.127,-0.486,0.053,0.769,-6.9,-14.4,-14.8,-23.5,-43.4,5.9,150.4,-21.7,0.5
322,-0.481,3.698,10.058,0.013,3.586,9.127,-0.486,0.053,0.769,-6.9,-14.4,-14.8,-23.5,-43.4,5.9,150.4,-21.7,0.5
331,-0.481,3.698,10.058,0.038,3.572,9.133,-0.511,0.066,0.764,-5.7,-12.1,-13.7,-23.1,-43.3,5.8,150.4,-21.7,0.5
341,0.074,3.56,10.091,0.073,3.536,9.147,0,-0.033,0.782,-5.1,-15.5,-9.6,-22.7,-43.4,5.9,151.4,-21.4,-0.2
351,0.074,3.56,10.091,0.073,3.536,9.147,0,-0.033,0.782,-3.3,-17.8,-10.6,-22.7,-43.4,5.9,151.4,-21.4,-0.2
361,-0.188,3.93,10.1,0.09,3.509,9.157,-0.275,0.358,0.781,-3.3,-17.8,-10.6,-22.6,-43.5,6.1,151.4,-21.4,-0.2
371,-0.188,3.93,10.1,0.09,3.509,9.157,-0.275,0.358,0.781,-3,-17.3,-9.3,-22.6,-43.5,6.1,151.4,-21.4,-0.2
381,-0.295,4.045,9.593,0.11,3.493,9.163,-0.401,0.487,0.276,-1.6,-18.9,-6.3,-22.4,-43.5,6.2,152.9,-21,-0.6
390,-0.295,4.045,9.593,0.11,3.493,9.163,-0.401,0.487,0.276,-1.6,-18.9,-6.3,-22.4,-43.5,6.2,152.9,-21,-0.6
400,0.037,4.172,9.697,0.165,3.471,9.17,-0.128,0.633,0.371,-1.9,-15.3,-4.1,-22,-43.7,6.1,152.9,-21,-0.6
