357,0.01,4.248,10.087,0.213,4.097,8.907,-0.204,0.083,1.018,14.6,-8.8,-8.7,-33.9,-27,-6.6,122.7,-24.6,-1.3
367,0.252,4.467,9.682,0.166,4.147,8.885,0.082,0.248,0.641,14.6,-8.8,-8.7,-33.8,-27,-6.5,122.2,-24.7,-1.4
377,-0.112,4.571,9.003,0.152,4.189,8.866,-0.263,0.309,-0.007,14.6,-8.8,-8.7,-33.8,-27,-6.5,122.2,-24.7,-1.4
387,-0.112,4.571,9.003,0.152,4.189,8.866,-0.263,0.309,-0.007,19.2,-5.3,-8.5,-33.8,-27,-6.5,122.2,-24.7,-1.4
397,-0.05,4.74,8.884,0.144,4.197,8.862,-0.194,0.467,-0.121,16.9,-3.6,-7.3,-33.7,-27.1,-6.5,122.2,-24.7,-1.4
407,-0.05,4.74,8.884,0.137,4.207,8.857,-0.187,0.456,-0.116,16.9,-3.6,-7.3,-33.5,-27.4,-6.5,122.8,-25.3,-0.9
417,-0.05,4.74,8.884,0.137,4.207,8.857,-0.187,0.456,-0.116,8,-5.7,-6.6,-33.5,-27.4,-6.5,122.8,-25.3,-0.9
427,0.462,4.435,8.702,0.15,4.228,8.847,0.305,0.136,-0.285,8,-5.7,-6.6,-33.5,-27.5,-6.2,122.8,-25.3,-0.9
437,0.462,4.435,8.702,0.159,4.228,8.847,0.295,0.135,-0.285,-3.1,-12.5,-9.5,-33.5,-27.5,-6.2,122.8,-25.3,-0.9
446,0.462,4.435,8.702,0.159,4.228,8.847,0.295,0.135,-0.285,-3.1,-12.5,-9.5,-33.5,-27.5,-6.2,122.8,-25.3,-0.9
456,-0.067,4.884,9.263,0.171,4.258,8.832,-0.237,0.548,0.282,-4.6,-13.1,-8.6,-33.4,-27.5,-6.2,123.2,-25.5,-1
466,0.031,4.717,9.244,0.178,4.268,8.827,-0.147,0.373,0.268,2.4,-8.3,-5,-33.5,-27.4,-6.2,123.2,-25.5,-1
477,0.031,4.717,9.244,0.178,4.268,8.827,-0.147,0.373,0.268,6.5,1.9,-2.4,-33.5,-27.4,-6.2,123.2,-25.5,-1
487,-0.063,4.66,8.62,0.197,4.297,8.813,-0.259,0.288,-0.332,6.5,1.9,-2.4,-33.7,-27.6,-6.1,123.2,-25.5,-1
497,-0.063,4.66,8.62,0.197,4.297,8.813,-0.259,0.288,-0.332,4.8,4.7,-1.5,-33.7,-27.6,-6.1,123.2,-25.5,-1
507,0.068,4.562,8.968,0.207,4.32,8.802,-0.14,0.168,0.022,4.8,4.7,-1.5,-33.8,-27.5,-5.7,123.3,-26,-1.3
517,0.068,4.562,8.968,0.207,4.32,8.802,-0.14,0.168,0.022,1.8,0.3,-2.3,-33.8,-27.5,-5.7,123.3,-26,-1.3
527,0.148,4.485,9.256,0.203,4.328,8.798,-0.057,0.085,0.31,-0.6,-3,-2.4,-33.8,-27.6,-5.6,123.3,-26,-1.3
537,0.148,4.485,9.256,0.203,4.328,8.798,-0.057,0.085,0.31,-0.6,-3,-2.4,-33.8,-27.6,-5.6,123.3,-26,-1.3
547,0.025,4.777,9.536,0.19,4.339,8.793,-0.165,0.362,0.59,-0.6,-3,-2.4,-33.9,-27.8,-5.5,123.2,-26.2,-1.3
557,0.025,4.777,9.536,0.19,4.339,8.793,-0.165,0.362,0.59,-0.8,-0.5,-2.7,-33.9,-27.8,-5.5,123.2,-26.2,-1.3
567,0.037,4.597,9.733,0.188,4.343,8.791,-0.151,0.181,0.786,2.8,0.2,-2.9,-34.2,-27.6,-5.5,123.2,-26.2,-1.3
577,0.037,4.597,9.733,0.188,4.343,8.791,-0.151,0.181,0.786,2.8,0.2,-2.9,-34.2,-27.6,-5.5,123.2,-26.2,-1.3
587,0.178,4.584,9.69,0.176,4.356,8.784,0,0.155,0.75,7.4,3.5,-3.9,-34.2,-27.5,-5.5,122.1,-26.3,-1.2
597,0.178,4.584,9.69,0.176,4.356,8.784,0,0.155,0.75,7.4,3.5,-3.9,-34.2,-27.5,-5.5,122.1,-26.3,-1.2
607,0.051,4.627,9.531,0.162,4.377,8.774,-0.112,0.176,0.604,10.1,3.6,-2.9,-34,-27.8,-5.3,122.1,-26.3,-1.2
617,0.051,4.627,9.531,0.162,4.377,8.774,-0.112,0.176,0.604,9.1,2.9,-2.6,-34,-27.8,-5.3,122.1,-26.3,-1.2
627,0.163,4.534,9.225,0.145,4.4,8.763,0.015,0.061,0.314,9.1,2.9,-2.6,-33.7,-27.8,-5.3,123.6,-26.5,-1.1
638,0.163,4.534,9.225,0.145,4.4,8.763,0.015,0.061,0.314,5.5,1.1,-1.1,-33.7,-27.8,-5.3,123.6,-26.5,-1.1
647,-0.037,4.662,9.322,0.149,4.406,8.76,-0.185,0.181,0.412,3.3,-4.8,-0.6,-33.7,-27.8,-5.2,123.6,-26.5,-1.1
658,-0.037,4.662,9.322,0.149,4.406,8.76,-0.185,0.181,0.412,3.3,-4.8,-0.6,-33.7,-27.8,-5.2,123.6,-26.5,-1.1
667,-0.085,4.729,9.3,0.159,4.423,8.751,-0.243,0.23,0.4,3.8,-11.5,-0.8,-33.7,-28,-5.2,123.6,-26.7,-1
677,-0.085,4.729,9.3,0.159,4.423,8.751,-0.243,0.23,0.4,3.8,-11.5,-0.8,-33.7,-28,-5.2,123.6,-26.7,-1
687,0.108,4.588,9.361,0.195,4.431,8.746,-0.089,0.083,0.464,3.2,-21.8,-2.9,-33.5,-28,-5.5,123.6,-26.7,-1
697,0.108,4.588,9.361,0.195,4.431,8.746,-0.089,0.083,0.464,3.2,-21.8,-2.9,-33.5,-28,-5.5,123.6,-26.7,-1
707,0.112,4.814,9.365,0.261,4.435,8.743,-0.151,0.302,0.471,1.5,-26.5,-5.6,-33.5,-28,-5.3,123.4,-26.9,-1.3
717,0.112,4.814,9.365,0.261,4.435,8.743,-0.151,0.302,0.471,1.5,-26.5,-5.6,-33.5,-28,-5.3,123.4,-26.9,-1.3
